RDKIT_SMILES,First_Class,Second_Class
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
FC(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
FC(F)(Br)C(F)(F)Br,PFAS derivatives,PFAS halogen derivatives
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O,Other aliphatics,Others
CN(C)CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
CN(C)CCCN(CC(O)CS(=O)(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
O=C(O)C(F)(F)F,PFAAs,PFCAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
FC1(F)C(F)(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
FC(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
CCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASAAs
FC(Cl)C(F)(Cl)C(F)(F)F,Other aliphatics,Others
FC(F)C(F)(Cl)C(F)(F)Cl,PFAS derivatives,PFAS halogen derivatives
FC(F)(F)C(F)(F)C(Cl)Cl,Other aliphatics,Others
FC(Cl)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
FC(F)C(F)(F)C(F)(Cl)Cl,Other aliphatics,Others
COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
CC1(c2ccc(O)cc2)CCc2cc(O)ccc2C1CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F,Side-chain aromatics,Others
O=S(=O)(O)C(F)(F)F,PFAAs,PFSAs
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOHs
O=S(=O)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,Other aliphatics,PASF-based substances
O=C(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)=C(F)F,Other aliphatics,PACF-based substances
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
FC(F)(F)COCC(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
FCOC(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
NC(=O)c1nc(-c2cccc(-c3cc(F)ccc3OCC(F)(F)C(F)(F)F)c2)n[nH]1,Side-chain aromatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTMACs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,Fluorotelomer PFAA precursors,n:2 FTIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
C=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,Fluorotelomer PFAA precursors,n:2 FTIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,Side-chain aromatics,Others
CCCCCCCCn1cc[n+](C)c1,Not PFAS,Not PFAS by current definition
O=P(O)(OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=P(O)(OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)OP(=O)(O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=P(O)(O)OCC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
FC(F)=C(F)OC(F)(F)F,Other aliphatics,Others
FC(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
C=C(C(F)(F)F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
NC(=O)c1nc(-c2ccccc2)n(-c2ccc(Cl)c(COCC(F)(F)C(F)(F)F)c2)n1,Side-chain aromatics,Others
CC(=O)N1C(=O)N(NCc2cccnc2)Cc2cc(C(F)(C(F)(F)F)C(F)(F)F)ccc21,Side-chain aromatics,Others
O=C(O)C(F)(F)C(F)F,Other aliphatics,PACF-based substances
FC(F)(Cl)C(F)(Cl)C(F)(F)Cl,PFAS derivatives,PFAS halogen derivatives
OCC(F)(F)C(F)F,Other aliphatics,Others
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:1 FTOHs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PASFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PASFs
C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Other aliphatics,PACF-based substances
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)CI,Other aliphatics,Others
NC(=O)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=S(=O)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PASFs
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
O=S(=O)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Perfluoro PFAA precursors, cyclic","PASFs, cyclic"
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
OCC(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
FC1(F)C(F)(Cl)C(F)(F)C1(F)Cl,"Other aliphatics, cyclic","Others, cyclic"
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
O=C(OOC(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
C=CC(=O)OCC(F)(F)C(F)(F)F,Other aliphatics,Others
FC(=C(F)C(F)(F)F)C(F)(F)F,Non-PFAA perfluoroalkyls,PFAenes
FC(F)(F)C(F)(F)C(F)(F)CI,Other aliphatics,Others
N#CC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
OCC(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:1 FTOHs
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,Other aliphatics,Others
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
C=C(C)C(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,N-Alkyl FASMACs
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,Others
COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC,Other aliphatics,PACF-based substances
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(=O)O,Other aliphatics,PACF-based substances
OCC(F)(F)C(F)(F)C(F)(F)CO,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(=O)O,Other aliphatics,PACF-based substances
CCOC(=O)C(F)(F)C(F)(F)C(=O)OCC,Other aliphatics,PACF-based substances
COC(=O)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)(F)N1C(F)(F)C(F)(F)OC(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
N#CC(F)(F)C(F)(F)F,Other aliphatics,Others
OCC(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:1 FTOHs
O=C(Cl)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
OC(O)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)F,PFAAs,PFCAs
FC(F)(F)C(F)(F)C(F)(F)Br,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)Cl,Other aliphatics,Others
O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluoro PFAA precursors,PASFs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
C=CC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,N-Alkyl FASACs
C=CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(=O)OCC,Other aliphatics,PACF-based substances
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
CCOC(=O)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
O=C(CC(=O)C(F)(F)C(F)(F)C(F)(F)F)c1cccs1,Side-chain aromatics,Others
FC(F)(F)C(F)(F)N1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
NC(=O)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(I)C(F)(F)F,Perfluoro PFAA precursors,PFAIs
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)C(=O)Cl,Other aliphatics,Others
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)C=C,Other aliphatics,Others
O=C(NOC(=O)C(F)(F)F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)=C(F)C(F)=C(F)F,PFAS derivatives,With fluorinated C=C or C=O carbon
FC(F)=CC(F)(F)F,Other aliphatics,Others
O=S1(=O)OC(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
O=C1OC(=O)C(F)(F)C1(F)F,"Other aliphatics, cyclic","PACF-based substances, cyclic"
FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,"Other aliphatics, cyclic","Others, cyclic"
FC(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
COC(=O)C(F)(F)C(F)(F)OC,Other aliphatics,PACF-based substances
CN(CCCCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1,Side-chain aromatics,Others
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
C=CC(=O)OCCCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,Fluorotelomer PFAA precursors,n:2 FTIs
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,Other aliphatics,PACF-based substances
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTMACs
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
CCOC(=O)CN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
C=CC(=O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,N-Alkyl FASACs
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTMACs
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTOHs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,Fluorotelomer PFAA precursors,n:2 FTIs
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,Fluorotelomer PFAA precursors,n:2 FTIs
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTMACs
CCCCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FASA based PFAA precursors,(N-Alkyl) FASEs
FC(F)(Cl)C(F)(F)C(Cl)(Cl)Cl,Other aliphatics,Others
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFCAs
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,PFAAs,PFSAs
O=C(Nc1ccc([N+](=O)[O-])cc1O)C(F)(F)C(F)(F)C(F)(F)F,Side-chain aromatics,Others
CCN(CCOP(=O)(O)OCCN(CC)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
O=S(=O)(O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,"PFAAs, cyclic","PFSAs, cyclic"
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PACF-based substances
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
FC(F)(F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,Perfluoro PFAA precursors,PFAIs
CCN(CCOP(=O)(O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTMACs
C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Fluorotelomer PFAA precursors,n:2 FTMACs
FC(F)(F)C1(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F,"Non-PFAA perfluoroalkyls, cyclic","PFAs, cyclic"
CN(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,PASF-based substances
C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,Other aliphatics,Others
O=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,Perfluoro PFAA precursors,PAFs
