DTXSID,PREFERRED_NAME,CASRN,SMILES,multmer_test,inorganic,CAN_SMILES,docking score,MMGBSA,Polymers,isDuplicated,firstOccurred,IMPORTANCE,Primary_Class,Sec_class
DTXSID40881032,Bis(2-hydroxyethyl)methyl(3-(perfluorododecyl)-2-hydroxypropyl)ammonium iodide,93776-16-0,[I-].C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,TRUE,FALSE,OCC[N+](CC(CC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(CCO)C,-12.142,-65.131,FALSE,FALSE,,,Other aliphatics,Others
DTXSID20897499,"(3β,5α,6α)-5,6-Epoxy-25,26,26,26,27,27,27-heptafluorocholestan-3-ol",240129-21-9,[H]C(C)(CCCC(F)(C(F)(F)F)C(F)(F)F)[C@@]1([H])CC[C@@]2([H])[C@]3([H])C[C@]4([H])O[C@@]44C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,FALSE,FALSE,OC1CCC2(C3(C1)OC3CC1C2CCC2(C1CCC2C(CCCC(C(F)(F)F)(C(F)(F)F)F)C)C)C,-12.103,-70.1902,FALSE,FALSE,,,Steriod-Backbone,Steriod-Backbone
DTXSID50379718,"3-methyl-4-(2,2,3,3,4,4,5,5,5-nonafluoropentyl)cyclopentane-1,1-dicarboxylic Acid",20116-32-9,CC1CC(CC1CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,FALSE,FALSE,CC1CC(CC1CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(=O)O)C(=O)O,-12.072,-44.596,FALSE,FALSE,,,"Other aliphatics, cyclic","Others, cyclic"
DTXSID10896537,"4,5,5,5-Tetrafluoro-4-{1,1,2,3,3,3-hexafluoro-2-[1,1,2,3,3,3-hexafluoro-2-(heptafluoropropoxy)propoxy]propoxy}-N-propylpentan-1-amine",928655-42-9,CCCNCCCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FALSE,FALSE,CCCNCCCC(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F,-12.036,-62.4256,FALSE,FALSE,,,Other aliphatics,Ether based substances
DTXSID10663084,"Acetamido(6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,13-heptadecafluorotridecyl)propanedioic acid",885276-27-7,CC(=O)NC(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(C(O)=O)C(O)=O,FALSE,FALSE,CC(=O)NC(C(=O)O)(C(=O)O)CCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.994,-60.8509,FALSE,FALSE,,,Other aliphatics,FT
DTXSID80897495,"(3β)-25,26,26,26,27,27,27-Heptafluoro-cholest-5-en-3-ol",153463-21-9,[H]C(C)(CCCC(F)(C(F)(F)F)C(F)(F)F)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,FALSE,FALSE,OC1CCC2(C(=CCC3C2CCC2(C3CCC2C(CCCC(C(F)(F)F)(C(F)(F)F)F)C)C)C1)C,-11.963,-71.2268,FALSE,FALSE,,,Steriod-Backbone,Steriod-Backbone
DTXSID00881053,Bis(2-hydroxyethyl)methyl(3-(perfluorooctyl)-2-hydroxypropyl)ammonium iodide,93776-18-2,[I-].C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,TRUE,FALSE,OCC[N+](CC(CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(CCO)C,-11.953,-54.0841,FALSE,FALSE,,,Other aliphatics,Others
DTXSID80933761,1-[(Heptafluoropropyl)(propan-2-yl)amino]-3-[(naphthalen-1-yl)oxy]propan-2-ol--hydrogen iodide (1/1),149825-35-4,I.CC(C)N(CC(O)COC1=CC=CC2=CC=CC=C12)C(F)(F)C(F)(F)C(F)(F)F,TRUE,FALSE,OC(CN(C(C(C(F)(F)F)(F)F)(F)F)C(C)C)COc1cccc2c1cccc2,-11.933,-57.5373,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID40795408,"({4-[(1,2,3,3,4,4,5,5,6,6,6-Undecafluorohex-1-en-1-yl)oxy]phenyl}methyl)phosphonic acid",63513-18-8,OP(O)(=O)CC1=CC=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,FC(=C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F)Oc1ccc(cc1)CP(=O)(O)O,-11.887,-46.0073,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID30563299,"3-[(3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooctyl)oxy]propane-1,2-diol",126814-93-5,OCC(O)COCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FALSE,FALSE,OCC(COCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-11.802,-44.5753,FALSE,FALSE,,,Other aliphatics,Ether based substances
DTXSID20892444,"Perfluoro(2,5,8,11,14-pentamethyl-3,6,9,12,15-pentaoxaoctadecanoic) acid",52481-85-3,OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FALSE,FALSE,OC(=O)C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)F,-11.795,-67.7103,FALSE,FALSE,,,PFAAs,PFECAs
DTXSID40881052,Bis(2-hydroxyethyl)methyl(3-(perfluorodecyl)-2-hydroxypropyl)ammonium iodide,93776-17-1,[I-].C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,TRUE,FALSE,OCC[N+](CC(CC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(CCO)C,-11.793,-63.1985,FALSE,FALSE,,,Other aliphatics,Others
DTXSID90881148,Bis(2-hydroxyethyl)methyl(1-(perfluoro-9-methyldecyl))-2-hydroxyprop-3-ylammonium iodide,94159-77-0,[I-].C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,TRUE,FALSE,OCC[N+](CC(CC(C(C(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(CCO)C,-11.784,-65.865,FALSE,FALSE,,,Other aliphatics,Others
DTXSID00787162,"4-[(1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoronon-1-en-1-yl)oxy]-N-(hydroxymethyl)benzamide",59379-88-3,OCNC(=O)C1=CC=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,OCNC(=O)c1ccc(cc1)OC(=C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)F,-11.779,-56.549,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID10933759,1-[(9H-Carbazol-4-yl)oxy]-3-[(heptafluoropropyl)(propan-2-yl)amino]propan-2-ol--hydrogen iodide (1/1),149825-33-2,I.CC(C)N(CC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2)C(F)(F)C(F)(F)C(F)(F)F,TRUE,FALSE,OC(CN(C(C(C(F)(F)F)(F)F)(F)F)C(C)C)COc1cccc2c1c1ccccc1[nH]2,-11.755,-62.2786,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID50892614,11:1:2 Fluorotelomer betaine,171184-05-7,C[N+](C)(CCC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,FALSE,FALSE,[O-]C(=O)C[N+](CCC(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)(C)C,-11.753,-63.3101,FALSE,FALSE,,,Other aliphatics,Others
DTXSID20660160,"2,4,4,5,7,7,8,10,10,11,13,13,14,16,16,17,17,18,18,18-Icosafluoro-2,5,8,11,14-pentakis(trifluoromethyl)-3,6,9,12,15-pentaoxaoctadecan-1-ol",27617-34-1,OCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,FALSE,FALSE,OCC(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)F)(F)F)F,-11.717,-67.7735,FALSE,FALSE,,,Other aliphatics,Ether based substances
DTXSID50806711,"2-Hydroxyethyl 4-[(1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoronon-1-en-1-yl)oxy]benzoate",62623-11-4,OCCOC(=O)C1=CC=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,OCCOC(=O)c1ccc(cc1)OC(=C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)F,-11.707,-59.0819,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID60897498,"(3β)-25,26,26,26,27,27,27-Heptafluoro-3-hydroxycholest-5-en-7-one",215094-37-4,[H]C(C)(CCCC(F)(C(F)(F)F)C(F)(F)F)[C@@]1([H])CC[C@@]2([H])[C@]3([H])C(=O)C=C4C[C@@]([H])(O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,FALSE,FALSE,OC1CCC2(C(=CC(=O)C3C2CCC2(C3CCC2C(CCCC(C(F)(F)F)(C(F)(F)F)F)C)C)C1)C,-11.688,-68.6981,FALSE,FALSE,,,Steriod-Backbone,Steriod-Backbone
DTXSID60583425,"[4-(3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecyl)phenyl]methanol",356055-77-1,OCC1=CC=C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,OCc1ccc(cc1)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.68,-54.0092,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID20881313,[[4-[(Heptadecafluorononenyl)oxy]phenyl]methyl]phosphonic acid,63513-12-2,OP(O)(=O)CC1=CC=C(OC(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,FC(=C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)F)Oc1ccc(cc1)CP(=O)(O)O,-11.675,-57.3933,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID00881356,"3,5,7,9,11,11-Hexachloro-2,2,3,4,4,5,6,6,7,8,8,9,10,10,11-pentadecafluoroundecanoic acid",53281-37-1,OC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)Cl,FALSE,FALSE,OC(=O)C(C(C(C(C(C(C(C(C(C(Cl)(Cl)F)(F)F)(Cl)F)(F)F)(Cl)F)(F)F)(Cl)F)(F)F)(Cl)F)(F)F,-11.667,-54.0325,FALSE,FALSE,,,Other aliphatics,PACF-based substances
DTXSID80896185,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-Henicosafluorododecyl phenylcarbamate",305849-13-2,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCOC(=O)Nc1ccccc1,FALSE,FALSE,O=C(Nc1ccccc1)OCCC(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.635,-65.3996,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID80585047,"{4-[(4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Heptadecafluoroundecyl)oxy]phenyl}methanol",892155-69-0,OCC1=CC=C(OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,OCc1ccc(cc1)OCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.615,-57.0425,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID80198893,"1,3-Bis(2-phenyl-1,3,4-oxadiazol-5-yl)perfluoropropane",5086-79-3,FC(F)(C1=NN=C(O1)C1=CC=CC=C1)C(F)(F)C(F)(F)C1=NN=C(O1)C1=CC=CC=C1,FALSE,FALSE,FC(C(c1nnc(o1)c1ccccc1)(F)F)(C(c1nnc(o1)c1ccccc1)(F)F)F,-11.606,-58.8875,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID10896552,"{3,4,5-Tris[1,1,2-trifluoro-2-(heptafluoropropoxy)ethoxy]phenyl}methanol",1233312-87-2,OCc1cc(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)c(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)c(OC(F)(F)C(F)OC(F)(F)C(F)(F)C(F)(F)F)c1,FALSE,FALSE,OCc1cc(OC(C(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)c(c(c1)OC(C(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F)OC(C(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F,-11.598,-73.4391,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID70896215,"Ethyl 2-[(diphenylmethylidene)amino]-5,5,6,6,7,7,8,8,8-nonafluorooctanoate",125162-61-0,CCOC(=O)C(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)N=C(c1ccccc1)c1ccccc1,FALSE,FALSE,CCOC(=O)C(N=C(c1ccccc1)c1ccccc1)CCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-11.591,-61.5296,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID30305272,"4-[1,1,2,2,3,3-hexafluoro-3-(4-hydroxyphenyl)propyl]phenol",57558-13-1,OC1=CC=C(C=C1)C(F)(F)C(F)(F)C(F)(F)C1=CC=C(O)C=C1,FALSE,FALSE,FC(C(c1ccc(cc1)O)(F)F)(C(c1ccc(cc1)O)(F)F)F,-11.584,-38.1516,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID20896462,"2,3,4,5,6-Pentafluoro-N-(3-{[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]carbamoyl}phenyl)benzamide",862130-96-9,Cc1cc(cc(C)c1NC(=O)c1cccc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c1)C(F)(C(F)(F)F)C(F)(F)F,FALSE,FALSE,O=C(c1cccc(c1)NC(=O)c1c(F)c(F)c(c(c1F)F)F)Nc1c(C)cc(cc1C)C(C(F)(F)F)(C(F)(F)F)F,-11.573,-61.36,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID70464615,"4-(1H,1H,2H,2H-Perfluorodecylthio)phenol",142623-70-9,OC1=CC=C(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,FC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(CCSc1ccc(cc1)O)F,-11.573,-50.3056,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID50881149,Bis(2-hydroxyethyl)methyl(1(-perfluoro-7-methyloctyl))-2-hydroxyprop-3-ylammonium iodide,94159-78-1,[I-].C[N+](CCO)(CCO)CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,TRUE,FALSE,OCC[N+](CC(CC(C(C(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)(CCO)C,-11.55,-55.2677,FALSE,FALSE,,,Other aliphatics,Others
DTXSID40844586,"4'-Butyl-3-(6,6,7,7,8,8,9,9,9-nonafluorononyl)-2,2'-bithiophene",919079-94-0,CCCCC1=CSC(=C1)C1=C(CCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=CS1,FALSE,FALSE,CCCCc1csc(c1)c1sccc1CCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-11.536,-67.2117,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID60880128,"4'-[2-(2,4-Di-tert-pentylphenoxy)butyramido]perfluoro-2'-hydroxybutyranilide",346-10-1,CCC(OC1=C(C=C(C=C1)C(C)(C)CC)C(C)(C)CC)C(=O)NC1=CC(O)=C(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,CCC(C(=O)Nc1ccc(c(c1)O)NC(=O)C(C(C(F)(F)F)(F)F)(F)F)Oc1ccc(cc1C(CC)(C)C)C(CC)(C)C,-11.524,-85.9411,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID20896386,"4-Bromo-2-[4,4,5,5,6,6,7,7,8,9,9,9-dodecafluoro-8-(trifluoromethyl)nonyl]phenol",610778-18-2,Oc1ccc(Br)cc1CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,FALSE,FALSE,FC(C(C(C(C(C(F)(F)F)(C(F)(F)F)F)(F)F)(F)F)(F)F)(CCCc1cc(Br)ccc1O)F,-11.508,-51.0721,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID10896456,"2,4-Dichloro-N-(3-{[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]carbamoyl}phenyl)benzamide",862130-69-6,Cc1cc(cc(C)c1NC(=O)c1cccc(NC(=O)c2ccc(Cl)cc2Cl)c1)C(F)(C(F)(F)F)C(F)(F)F,FALSE,FALSE,Clc1ccc(c(c1)Cl)C(=O)Nc1cccc(c1)C(=O)Nc1c(C)cc(cc1C)C(C(F)(F)F)(C(F)(F)F)F,-11.489,-65.9898,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID60897534,"5-(Perfluorooctyl)-1,3-bis(bis(trifluoromethyl)hydroxymethyl)benzene",89780-02-9,OC(C1=CC(=CC(=C1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(O)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,FALSE,FALSE,FC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(C(c1cc(cc(c1)C(C(F)(F)F)(C(F)(F)F)O)C(C(F)(F)F)(C(F)(F)F)O)(F)F)F,-11.465,-65.2325,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID70896457,"2,4-Difluoro-N-(2-fluoro-5-{[4-(1,1,1,2,3,3,3-heptafluoropropan-2-yl)-2,6-dimethylphenyl]carbamoyl}phenyl)benzamide",862133-29-7,Cc1cc(cc(C)c1NC(=O)c1ccc(F)c(NC(=O)c2ccc(F)cc2F)c1)C(F)(C(F)(F)F)C(F)(F)F,FALSE,FALSE,Fc1ccc(c(c1)F)C(=O)Nc1cc(ccc1F)C(=O)Nc1c(C)cc(cc1C)C(C(F)(F)F)(C(F)(F)F)F,-11.436,-66.3742,FALSE,FALSE,,,Side-chain aromatics,Others
DTXSID90895467,"12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,19-Heptadecafluorononadecan-1-ol",1512-02-3,OCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FALSE,FALSE,OCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.4,-61.2701,FALSE,FALSE,,,Other aliphatics,FTOH
DTXSID50696538,"{4-[(4,4,5,5,6,6,7,7,8,8,9,9,9-Tridecafluorononyl)oxy]phenyl}methanol",957206-65-4,OCC1=CC=C(OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C=C1,FALSE,FALSE,OCc1ccc(cc1)OCCCC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,-11.377,-51.2002,FALSE,FALSE,,,Side-chain aromatics,Others
